chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
PYPL,2021-07-16,280.0000,call,sell,2021-07-09T16:33:03.321618Z,credit,1.00000,limit,,long_call,20.70000000,1.00000
PYPL,2021-07-09,290.0000,call,sell,2021-07-06T19:34:56.275910Z,credit,1.00000,limit,,long_call,4.40000000,1.00000
PYPL,2021-07-09,290.0000,call,sell,2021-07-06T17:35:26.931924Z,credit,2.00000,limit,,long_call,3.70000000,2.00000
PYPL,2021-07-09,290.0000,call,buy,2021-07-06T16:42:56.268653Z,debit,1.00000,limit,long_call,,3.25000000,1.00000
PYPL,2021-07-09,290.0000,call,buy,2021-07-06T16:20:22.166716Z,debit,2.00000,limit,long_call,,2.73000000,2.00000
TSLA,2021-07-16,650.0000,call,sell,2021-07-06T15:48:47.525585Z,credit,1.00000,limit,,long_call,27.80000000,1.00000
PYPL,2021-07-16,280.0000,call,sell,2021-07-01T15:24:57.211142Z,credit,2.00000,limit,,long_call,9.45000000,2.00000
SPY,2021-06-18,420.0000,put,sell,2021-06-18T14:00:22.178773Z,credit,3.00000,limit,,long_put,2.98000000,3.00000
PYPL,2021-07-16,280.0000,call,sell,2021-06-17T19:53:35.127686Z,credit,1.00000,limit,,long_call,7.75000000,1.00000
TSLA,2021-06-18,615.0000,call,sell,2021-06-17T15:35:33.042483Z,credit,1.00000,limit,,long_call,7.95000000,1.00000
PYPL,2021-07-16,280.0000,call,buy,2021-06-16T18:58:50.929305Z,debit,1.00000,limit,long_call,,3.45000000,1.00000
SPY,2021-06-18,420.0000,put,buy,2021-06-16T17:41:34.004079Z,debit,1.00000,limit,long_put,,1.49000000,1.00000
TSLA,2021-06-18,650.0000,call,sell,2021-06-15T19:59:57.633004Z,credit,10.00000,limit,,long_call,0.66000000,10.00000
TSLA,2021-06-18,615.0000,call,buy,2021-06-15T19:59:48.263160Z,debit,1.00000,limit,long_call,,5.40000000,1.00000
TSLA,2021-06-18,650.0000,call,buy,2021-06-15T17:14:55.295692Z,debit,2.00000,limit,long_call,,1.06000000,2.00000
TSLA,2021-06-18,650.0000,call,buy,2021-06-15T16:30:58.005351Z,debit,3.00000,limit,long_call,,1.04000000,3.00000
